last-name, first-name
Amodei, Dario
Barto, Andrew
Bengio, Yoshua
Brown, Tom
Chollet, Francois
Devlin, Jacob
Goodfellow, Ian
Hassabis, Demis
He, Kaiming
Hinton, Geoffrey
Hochreiter, Sepp
Hofstadter, Douglas
Karpathy, Andrej
Krizhevsky, Alex
LeCun, Yann
Li, Fei-Fei
McCarthy, John
Minsky, Marvin
Newell, Allen
Ng, Andrew
Pearl, Judea
Radford, Alec
Rosenblatt, Frank
Salakhutdinov, Ruslan
Samuel, Arthur
Schmidhuber, Jurgen
Shannon, Claude
Silver, David
Simon, Herbert
Sutskever, Ilya
Sutton, Richard
Szegedy, Christian
Turing, Alan
Vaswani, Ashish
Vinyals, Oriol
