year,title,url
2025,ARC-AGI-2: A New Challenge for Frontier AI Reasoning Systems,https://arxiv.org/pdf/2505.11831.pdf
2025,International AI Safety Report,https://arxiv.org/pdf/2501.17805.pdf
2025,International AI Safety Report 2025: First Key Update: Capabilities and Risk Implications,https://arxiv.org/pdf/2510.13653.pdf
2025,International AI Safety Report 2025: Second Key Update: Technical Safeguards and Risk Management,https://arxiv.org/pdf/2511.19863.pdf
2025,Quantifying Skill and Chance: A Unified Framework for the Geometry of Games,https://arxiv.org/pdf/2511.11611.pdf
2025,Quasi-convex surface subgroups in some one-relator groups with torsion,https://arxiv.org/pdf/2510.01876.pdf
2025,Superintelligent Agents Pose Catastrophic Risks: Can Scientist AI Offer a Safer Path?,https://arxiv.org/pdf/2502.15657.pdf
2025,"Taskmaster Deconstructed: A Quantitative Look at Tension, Volatility, and Viewer Ratings",https://arxiv.org/pdf/2505.02886.pdf
2025,The Singapore Consensus on Global AI Safety Research Priorities,https://arxiv.org/pdf/2506.20702.pdf
2025,Virtual First Betti Number of GGS Groups,https://arxiv.org/pdf/2505.23269.pdf
2024,ARC Prize 2024: Technical Report,https://arxiv.org/pdf/2412.04604.pdf
2024,Can a Bayesian Oracle Prevent Harm from an Agent?,https://arxiv.org/pdf/2408.05284.pdf
2024,International Scientific Report on the Safety of Advanced AI (Interim Report),https://arxiv.org/pdf/2412.05282.pdf
2024,Machine learning and information theory concepts towards an AI Mathematician,https://arxiv.org/pdf/2403.04571.pdf
2024,Price formation without fuel costs: the interaction of demand elasticity with storage bidding,https://arxiv.org/pdf/2407.21409.pdf
2023,AI For Global Climate Cooperation 2023 Competition Proceedings,https://arxiv.org/pdf/2307.06951.pdf
2023,Managing extreme AI risks amid rapid progress,https://arxiv.org/pdf/2310.17688.pdf
2023,Random anti-commuting Hermitian matrices,https://arxiv.org/pdf/2312.14330.pdf
2023,Random commuting matrices,https://arxiv.org/pdf/2305.20029.pdf
2023,Stability conditions and canonical metrics,https://arxiv.org/pdf/2302.04966.pdf
2022,(Private)-Retroactive Carbon Pricing [(P)ReCaP]: A Market-based Approach for Climate Finance and Risk Assessment,https://arxiv.org/pdf/2205.00666.pdf
2022,A History of Meta-gradient: Gradient Methods for Meta-learning,https://arxiv.org/pdf/2202.09701.pdf
2022,Canonical metrics on holomorphic fibre bundles,https://arxiv.org/pdf/2202.11630.pdf
2022,Conferences -- An Owner's Manual,https://arxiv.org/pdf/2206.14688.pdf
2022,Reward-Respecting Subtasks for Model-Based Reinforcement Learning,https://arxiv.org/pdf/2202.03466.pdf
2022,Robust Speech Recognition via Large-Scale Weak Supervision,https://arxiv.org/pdf/2212.04356.pdf
2022,Substrate Curvature Curbs the Coffee Ring Effect,https://arxiv.org/pdf/2212.11256.pdf
2022,The Alberta Plan for AI Research,https://arxiv.org/pdf/2208.11173.pdf
